"","year","religion_importance","happiness","gender","age","religion","financial_satisfaction","living_standard","trust_people","trust_family","trust_foreigners"
"339",2020,2,2,1,41,1,9,1,2,1,2
"340",2020,4,2,2,37,0,7,1,2,1,2
"341",2020,2,1,1,74,2,9,1,1,1,2
"342",2020,4,1,1,71,0,8,3,1,2,2
"343",2020,4,3,2,55,0,7,1,1,2,2
"344",2020,4,2,2,66,0,8,1,2,1,2
"345",2020,3,3,1,32,0,5,3,1,2,2
"346",2020,4,2,2,33,0,6,1,2,1,1
"347",2020,3,1,2,35,1,9,1,2,1,1
"348",2020,2,1,1,34,1,7,3,2,1,2
"349",2020,3,2,2,49,0,8,3,2,1,3
"350",2020,1,2,1,73,1,8,3,1,1,2
"351",2020,3,2,1,37,5,7,2,1,2,3
"352",2020,4,2,1,58,0,9,3,1,1,2
"353",2020,4,3,1,27,0,3,2,2,2,3
"354",2020,1,2,1,31,8,4,1,1,1,2
"355",2020,1,2,2,30,1,7,3,2,1,2
"356",2020,2,1,1,80,2,8,1,1,1,2
"357",2020,1,3,2,32,8,4,3,1,2,2
"358",2020,1,1,2,18,1,8,1,1,2,2
"359",2020,2,2,1,64,9,7,3,1,1,2
"360",2020,4,1,1,37,0,8,1,2,1,2
"361",2020,1,1,2,56,2,8,2,1,1,2
"362",2020,1,2,1,69,2,8,1,1,1,1
"363",2020,2,1,1,28,0,8,1,1,2,3
"364",2020,4,1,1,28,0,6,1,1,1,2
"365",2020,3,2,2,27,0,8,3,2,2,3
"366",2020,3,1,1,63,0,9,1,2,1,2
"367",2020,3,2,1,56,1,7,2,1,1,2
"368",2020,4,2,2,29,0,1,3,2,1,1
"369",2020,4,2,1,48,0,7,3,1,1,2
"370",2020,1,2,1,50,2,5,2,2,1,2
"371",2020,3,2,2,69,1,9,1,1,2,2
"372",2020,1,3,2,66,2,6,1,2,3,1
"373",2020,2,3,2,47,2,2,1,2,2,3
"374",2020,2,2,1,48,3,6,3,2,1,2
"375",2020,3,2,1,23,2,8,1,1,1,2
"376",2020,2,2,2,43,1,5,3,1,1,2
"377",2020,1,2,2,59,1,10,1,2,1,3
"378",2020,4,1,1,53,1,10,1,2,4,3
"379",2020,3,2,1,50,1,7,3,2,2,2
"380",2020,4,2,2,43,0,8,1,2,2,2
"381",2020,3,1,1,70,2,9,1,1,1,2
"382",2020,3,3,2,25,0,1,2,2,2,2
"383",2020,4,2,1,18,1,6,3,1,1,2
"384",2020,4,2,2,24,0,5,1,2,2,2
"385",2020,2,2,2,66,2,2,2,1,2,3
"386",2020,4,1,1,29,0,9,1,1,1,2
"387",2020,3,2,1,60,1,7,3,2,1,2
"388",2020,4,1,1,63,0,8,3,1,1,2
"389",2020,2,1,1,34,1,8,1,1,1,1
"390",2020,2,2,1,30,6,9,1,2,1,3
"391",2020,3,2,1,51,1,6,3,2,1,2
"392",2020,3,2,1,35,1,6,1,1,1,2
"393",2020,4,2,2,37,0,9,1,1,1,2
"394",2020,4,2,1,38,0,8,1,2,3,2
"395",2020,2,2,1,26,6,6,3,1,3,2
"396",2020,4,2,1,41,0,6,3,2,2,3
"397",2020,4,1,2,40,0,6,1,1,2,2
"398",2020,2,1,1,58,4,7,3,1,2,2
"399",2020,3,1,2,37,1,10,3,2,1,2
"400",2020,2,2,2,34,9,8,1,1,1,1
"401",2020,1,1,1,26,0,8,1,1,1,3
"402",2020,4,1,2,56,0,8,3,1,2,2
"403",2020,3,2,2,20,1,4,2,2,2,2
"404",2020,3,2,2,30,0,7,3,2,1,2
"405",2020,2,2,1,34,2,7,1,2,1,3
"406",2020,2,2,1,22,8,7,2,1,1,2
"407",2020,3,2,1,65,0,8,1,1,1,2
"408",2020,1,1,1,40,2,8,2,2,1,2
"409",2020,3,2,1,76,0,4,3,1,2,3
"410",2020,4,2,2,18,0,7,1,2,2,3
"411",2020,2,2,1,39,1,8,3,2,1,2
"412",2020,2,2,2,24,5,8,1,2,2,2
"413",2020,3,3,1,25,0,6,2,2,3,3
"414",2020,2,1,1,25,6,9,1,1,2,2
"415",2020,3,2,1,58,0,5,1,1,1,2
"416",2020,2,3,1,51,2,3,2,2,3,3
"417",2020,4,2,1,60,0,7,1,2,1,3
"418",2020,2,2,1,48,1,5,3,1,1,2
"419",2020,2,2,2,41,5,7,1,2,2,3
"420",2020,3,2,1,54,0,6,3,2,2,2
"421",2020,4,2,2,39,0,2,2,2,2,4
"422",2020,4,2,1,44,0,8,3,2,1,2
"423",2020,3,1,1,29,7,10,3,1,1,2
"424",2020,1,1,1,76,2,8,1,2,1,2
"425",2020,2,2,1,71,1,9,3,1,2,2
"426",2020,1,1,1,22,8,7,2,2,4,3
"427",2020,2,1,2,39,6,8,1,1,1,2
"428",2020,3,2,2,20,0,9,1,1,1,2
"429",2020,3,3,2,42,3,7,3,2,2,3
"430",2020,3,2,2,40,1,7,1,1,1,2
"431",2020,4,2,2,60,0,7,3,1,1,1
"432",2020,4,2,2,45,0,7,3,1,1,1
"433",2020,3,2,2,31,1,6,1,1,1,2
"434",2020,4,2,2,29,0,7,3,1,1,2
"435",2020,3,2,2,57,1,5,3,2,2,2
"436",2020,4,2,2,35,0,7,2,2,2,2
"437",2020,4,4,1,51,0,1,2,2,4,1
"438",2020,2,2,2,51,5,3,1,1,1,2
"439",2020,4,1,2,41,1,8,1,1,1,2
"440",2020,1,2,2,46,1,9,3,2,1,2
"441",2020,1,2,2,18,5,6,1,1,2,3
"442",2020,3,2,1,68,4,7,2,2,3,3
"443",2020,1,1,1,69,3,10,1,2,1,1
"444",2020,2,1,1,68,2,9,3,1,1,2
"445",2020,4,1,1,35,1,7,3,1,1,1
"446",2020,4,3,2,75,0,1,3,2,2,2
"447",2020,1,1,1,32,1,7,3,1,1,1
"448",2020,3,2,1,51,0,5,1,2,1,2
"449",2020,2,2,1,79,1,7,3,1,1,2
"450",2020,4,2,1,30,0,7,2,1,1,2
"451",2020,1,1,2,71,9,6,1,2,1,2
"452",2020,1,2,1,43,1,6,1,2,1,3
"453",2020,1,3,1,41,8,5,2,2,1,4
"454",2020,3,1,1,38,1,7,1,2,1,2
"455",2020,3,2,2,25,1,7,2,1,1,1
"456",2020,1,2,1,43,3,7,3,2,1,2
"457",2020,1,3,2,62,9,2,2,1,2,2
"458",2020,3,2,2,52,0,2,2,2,1,2
"459",2020,4,2,1,36,0,7,1,2,2,2
"460",2020,4,2,1,32,1,7,2,1,1,2
"461",2020,3,1,2,35,0,7,1,1,1,2
"462",2020,3,2,1,54,4,9,3,2,1,3
"463",2020,4,2,1,45,0,2,2,1,2,2
"464",2020,4,3,2,66,1,8,1,1,2,2
"465",2020,4,1,2,30,0,9,1,2,1,1
"466",2020,1,2,2,21,8,6,1,2,2,2
"467",2020,1,2,2,21,2,5,3,2,1,2
"468",2020,1,2,2,67,1,7,3,2,1,2
"469",2020,3,1,2,65,1,7,2,1,1,1
"470",2020,4,3,1,45,0,5,1,1,1,2
"471",2020,3,2,2,44,3,4,2,2,1,2
"472",2020,4,2,1,49,2,7,3,2,3,1
"473",2020,2,2,2,41,1,5,3,2,3,3
"474",2020,2,3,1,32,1,7,2,2,2,2
"475",2020,1,2,2,33,1,6,1,1,1,2
"476",2020,3,2,1,45,0,8,1,1,2,2
"477",2020,2,1,1,34,1,7,1,2,1,2
"478",2020,4,2,1,21,0,8,1,1,2,3
"479",2020,2,2,2,47,9,7,3,1,1,2
"480",2020,4,2,2,27,7,7,1,1,1,2
"481",2020,3,2,2,54,1,6,3,1,1,2
"482",2020,4,2,1,63,2,2,2,2,1,2
"483",2020,4,1,2,31,0,7,1,1,1,2
"484",2020,4,2,1,69,0,7,3,1,1,2
"485",2020,4,1,1,62,0,9,1,2,1,2
"486",2020,3,3,2,58,1,1,1,2,2,3
"487",2020,4,1,2,63,1,8,1,1,1,2
"488",2020,1,3,2,21,1,6,2,2,4,1
"489",2020,1,1,2,44,9,8,3,2,1,2
"490",2020,4,4,1,36,0,1,2,2,4,4
"491",2020,4,2,1,26,0,8,3,1,1,2
"492",2020,2,1,2,59,4,4,1,1,1,2
"493",2020,3,2,2,47,1,8,2,2,2,2
"494",2020,4,2,2,27,0,4,3,2,1,2
"495",2020,2,3,2,18,9,6,3,2,2,1
"496",2020,3,2,2,66,6,7,1,1,2,2
"497",2020,4,2,1,29,0,5,1,2,1,2
"498",2020,4,2,2,37,0,8,3,2,2,2
"499",2020,1,2,1,33,1,7,3,2,2,2
"500",2020,1,2,1,40,5,7,1,1,1,2
"501",2020,3,1,2,30,1,8,1,1,1,1
"502",2020,4,2,1,42,0,5,1,2,2,2
"503",2020,4,2,1,25,0,7,1,2,1,1
"504",2020,4,2,1,35,0,7,1,1,1,2
"505",2020,4,2,1,36,0,4,1,2,2,3
"506",2020,3,2,1,44,0,6,1,2,1,3
"507",2020,4,4,2,38,0,4,3,2,3,3
"508",2020,4,2,1,35,0,6,1,2,2,3
"509",2020,2,2,1,50,1,1,3,2,2,3
"510",2020,4,2,2,64,0,8,1,2,1,2
"511",2020,3,1,1,44,1,10,1,1,2,3
"512",2020,1,2,1,26,1,7,1,2,1,2
"513",2020,1,3,2,48,8,3,2,2,3,3
"514",2020,2,2,1,33,0,6,3,1,2,2
"515",2020,4,2,1,24,0,8,3,2,1,2
"516",2020,1,1,1,27,6,4,1,2,1,2
"517",2020,2,4,2,33,0,4,3,2,3,3
"518",2020,1,3,1,50,1,4,1,1,2,3
"519",2020,3,2,1,43,0,6,2,2,1,2
"520",2020,1,3,2,28,9,1,3,2,2,2
"521",2020,2,1,2,33,9,4,2,1,1,2
"522",2020,2,2,2,52,1,6,1,2,2,2
"523",2020,2,3,2,31,2,10,2,2,2,2
"524",2020,4,2,2,31,0,5,3,2,1,3
"525",2020,1,3,2,20,1,5,1,2,2,2
"526",2020,1,2,1,31,1,6,1,1,1,3
"527",2020,1,3,1,49,4,10,3,1,4,3
"528",2020,2,1,1,33,1,9,1,2,2,2
"529",2020,3,2,1,57,1,6,3,1,2,2
"530",2020,2,2,1,63,0,3,2,2,2,2
"531",2020,3,2,2,26,8,4,2,2,3,1
"532",2020,2,2,1,45,9,2,3,1,1,2
"533",2020,1,1,1,31,5,9,1,2,2,3
"534",2020,4,2,2,37,0,8,3,1,1,2
